session;sub;value;roi
1;1;4,00916317543134e-03;ca23dg_body_thre_0.5
1;2;1,16209631641600e-02;ca23dg_body_thre_0.5
1;3;-1,61189018204265e-02;ca23dg_body_thre_0.5
1;4;8,08901549136114e-03;ca23dg_body_thre_0.5
1;5;1,27862125600290e-03;ca23dg_body_thre_0.5
1;6;-6,82459031921257e-03;ca23dg_body_thre_0.5
1;7;-2,63748110051577e-02;ca23dg_body_thre_0.5
1;9;1,17221261629399e-02;ca23dg_body_thre_0.5
1;10;-3,19661575685226e-02;ca23dg_body_thre_0.5
1;11;2,55987787908651e-03;ca23dg_body_thre_0.5
1;12;-1,76493462167810e-02;ca23dg_body_thre_0.5
1;13;-3,49677458913632e-02;ca23dg_body_thre_0.5
1;14;1,64547190760778e-02;ca23dg_body_thre_0.5
1;17;2,46390346662842e-03;ca23dg_body_thre_0.5
1;18;2,23689313038452e-02;ca23dg_body_thre_0.5
1;19;1,95581926209832e-02;ca23dg_body_thre_0.5
1;20;-1,39248062984900e-02;ca23dg_body_thre_0.5
1;21;-1,66195610077105e-02;ca23dg_body_thre_0.5
1;22;6,20482844285325e-04;ca23dg_body_thre_0.5
1;23;3,61753518538212e-03;ca23dg_body_thre_0.5
1;24;3,55366899444954e-02;ca23dg_body_thre_0.5
1;25;-1,26727545288537e-02;ca23dg_body_thre_0.5
1;26;1,22635409592993e-02;ca23dg_body_thre_0.5
1;27;1,18219160151566e-02;ca23dg_body_thre_0.5
1;28;2,15412727060329e-03;ca23dg_body_thre_0.5
1;29;9,40575049012843e-03;ca23dg_body_thre_0.5
1;31;-4,34109490712177e-03;ca23dg_body_thre_0.5
1;32;-6,07056279476373e-03;ca23dg_body_thre_0.5
1;33;-1,10493229449716e-02;ca23dg_body_thre_0.5
1;35;-3,26532405796524e-02;ca23dg_body_thre_0.5
1;36;2,65545944622965e-02;ca23dg_body_thre_0.5
2;1;3,75211587229272e-03;ca23dg_body_thre_0.5
2;2;2,55224969094984e-02;ca23dg_body_thre_0.5
2;3;-3,79529056064650e-02;ca23dg_body_thre_0.5
2;4;-2,65334155228777e-02;ca23dg_body_thre_0.5
2;5;-1,14673872600390e-02;ca23dg_body_thre_0.5
2;6;8,43138962957719e-03;ca23dg_body_thre_0.5
2;7;-2,02139123974069e-02;ca23dg_body_thre_0.5
2;9;-1,73261665856332e-02;ca23dg_body_thre_0.5
2;10;2,21158132704033e-03;ca23dg_body_thre_0.5
2;11;1,53210897193761e-02;ca23dg_body_thre_0.5
2;12;-1,44002574949647e-04;ca23dg_body_thre_0.5
2;13;-7,65677577502311e-03;ca23dg_body_thre_0.5
2;14;-1,17323630641758e-03;ca23dg_body_thre_0.5
2;17;1,20899920247739e-02;ca23dg_body_thre_0.5
2;18;2,35897141699935e-02;ca23dg_body_thre_0.5
2;19;-3,87802721200082e-03;ca23dg_body_thre_0.5
2;20;1,39650297575245e-02;ca23dg_body_thre_0.5
2;21;2,59718936312312e-02;ca23dg_body_thre_0.5
2;22;1,30569973868046e-02;ca23dg_body_thre_0.5
2;23;-1,89603711711396e-02;ca23dg_body_thre_0.5
2;24;-1,22713203839844e-02;ca23dg_body_thre_0.5
2;25;2,38328142856528e-02;ca23dg_body_thre_0.5
2;26;-3,90727576815443e-03;ca23dg_body_thre_0.5
2;27;-1,92672862822191e-02;ca23dg_body_thre_0.5
2;28;-1,18068884336582e-02;ca23dg_body_thre_0.5
2;29;1,24919651043255e-02;ca23dg_body_thre_0.5
2;31;1,04664042688319e-02;ca23dg_body_thre_0.5
2;32;-1,96887357157911e-02;ca23dg_body_thre_0.5
2;33;-1,51007349644162e-02;ca23dg_body_thre_0.5
2;35;-9,43071150617988e-03;ca23dg_body_thre_0.5
2;36;2,14828471196296e-02;ca23dg_body_thre_0.5
3;1;-3,30945174926953e-03;ca23dg_body_thre_0.5
3;2;-6,86712822624354e-03;ca23dg_body_thre_0.5
3;3;2,27853702587594e-02;ca23dg_body_thre_0.5
3;4;9,40684255315501e-03;ca23dg_body_thre_0.5
3;5;-3,40372351468463e-02;ca23dg_body_thre_0.5
3;6;-1,50594772898653e-02;ca23dg_body_thre_0.5
3;7;1,17719406755348e-02;ca23dg_body_thre_0.5
3;9;-1,78765272247286e-02;ca23dg_body_thre_0.5
3;10;-8,65005002832387e-03;ca23dg_body_thre_0.5
3;11;-2,26357028948933e-02;ca23dg_body_thre_0.5
3;12;-4,39148403986329e-03;ca23dg_body_thre_0.5
3;13;1,99442430974042e-05;ca23dg_body_thre_0.5
3;14;1,49463777033145e-02;ca23dg_body_thre_0.5
3;17;-1,74043668337746e-02;ca23dg_body_thre_0.5
3;18;-3,87843503167259e-03;ca23dg_body_thre_0.5
3;19;2,16574476913132e-02;ca23dg_body_thre_0.5
3;20;-1,66387583810319e-02;ca23dg_body_thre_0.5
3;21;8,51790725666495e-03;ca23dg_body_thre_0.5
3;22;5,00467124458021e-03;ca23dg_body_thre_0.5
3;23;-4,89113238909780e-03;ca23dg_body_thre_0.5
3;24;3,82278184588196e-03;ca23dg_body_thre_0.5
3;25;-1,25000762028421e-02;ca23dg_body_thre_0.5
3;26;-5,74957204641293e-03;ca23dg_body_thre_0.5
3;27;3,66086412999858e-05;ca23dg_body_thre_0.5
3;28;7,50804994626187e-03;ca23dg_body_thre_0.5
3;29;-4,14141057462567e-03;ca23dg_body_thre_0.5
3;31;1,05426676578095e-02;ca23dg_body_thre_0.5
3;32;-1,25436687885665e-02;ca23dg_body_thre_0.5
3;33;-5,76507776738522e-03;ca23dg_body_thre_0.5
3;35;-2,61637067858165e-02;ca23dg_body_thre_0.5
3;36;3,77561713945385e-02;ca23dg_body_thre_0.5
4;1;9,68898949247822e-03;ca23dg_body_thre_0.5
4;2;-2,96884913158372e-02;ca23dg_body_thre_0.5
4;3;-1,35187422445849e-02;ca23dg_body_thre_0.5
4;4;5,77766264656739e-03;ca23dg_body_thre_0.5
4;5;-1,55712027819997e-02;ca23dg_body_thre_0.5
4;6;-1,02759434733599e-02;ca23dg_body_thre_0.5
4;7;5,08614943962550e-04;ca23dg_body_thre_0.5
4;9;9,11617988335147e-03;ca23dg_body_thre_0.5
4;10;-6,74637476033564e-03;ca23dg_body_thre_0.5
4;11;-3,78887625907393e-02;ca23dg_body_thre_0.5
4;12;-7,10768945553352e-03;ca23dg_body_thre_0.5
4;13;6,88510449712253e-03;ca23dg_body_thre_0.5
4;14;-1,55574392491477e-02;ca23dg_body_thre_0.5
4;17;1,68315306725882e-02;ca23dg_body_thre_0.5
4;18;1,58611898905591e-02;ca23dg_body_thre_0.5
4;19;1,74316145524501e-03;ca23dg_body_thre_0.5
4;20;2,45880526075969e-03;ca23dg_body_thre_0.5
4;21;3,30544279297610e-03;ca23dg_body_thre_0.5
4;22;-1,82794893418035e-02;ca23dg_body_thre_0.5
4;23;-1,37704200384968e-02;ca23dg_body_thre_0.5
4;24;2,03232028427166e-02;ca23dg_body_thre_0.5
4;25;8,02771213028809e-03;ca23dg_body_thre_0.5
4;26;-8,99252690617475e-03;ca23dg_body_thre_0.5
4;27;-3,92593081601306e-02;ca23dg_body_thre_0.5
4;28;-8,04808784362298e-03;ca23dg_body_thre_0.5
4;29;1,36107703493718e-02;ca23dg_body_thre_0.5
4;31;9,73512152948950e-03;ca23dg_body_thre_0.5
4;32;-4,71860644870653e-03;ca23dg_body_thre_0.5
4;33;1,11696001166764e-02;ca23dg_body_thre_0.5
4;35;-2,79730037483886e-03;ca23dg_body_thre_0.5
4;36;-1,33950829907557e-03;ca23dg_body_thre_0.5
5;1;-3,02564321256336e-02;ca23dg_body_thre_0.5
5;2;-1,63671651118222e-02;ca23dg_body_thre_0.5
5;3;2,04367295053233e-03;ca23dg_body_thre_0.5
5;4;2,23905565541751e-02;ca23dg_body_thre_0.5
5;5;7,85207054057617e-03;ca23dg_body_thre_0.5
5;6;-1,26588741171438e-02;ca23dg_body_thre_0.5
5;7;5,71595730118431e-03;ca23dg_body_thre_0.5
5;9;3,63510358268309e-03;ca23dg_body_thre_0.5
5;10;-7,62526243677435e-03;ca23dg_body_thre_0.5
5;11;-1,56529316270527e-02;ca23dg_body_thre_0.5
5;12;6,10775212242001e-03;ca23dg_body_thre_0.5
