scene_id;rt;accuracy;confResp;subnum;run;scene_num;high.conf.correct
A14;2.55495440321101;0;0;1;1;14;0
A15;3.12229462564574;0;1;1;1;15;0
A10;1.45287173693941;1;1;1;1;10;1
A3;1.08547057276883;0;1;1;1;3;0
B5;2.93897105910582;0;0;1;1;5;0
B14;1.26924497212167;0;1;1;1;14;0
B13;3.15607801143778;0;0;1;1;13;0
B10;2.52166074114211;1;0;1;1;10;0
B11;2.9560101977404;1;1;1;1;11;1
B0;1.51971883741498;1;1;1;1;0;1
B2;3.32337586919311;0;0;1;1;2;0
A8;0.818787493888522;0;1;1;1;8;0
B17;1.65313400533341;0;1;1;1;17;0
A6;0.751502775994595;1;1;1;1;6;1
B8;2.15450311731547;0;0;1;1;8;0
B4;2.4712792323844;0;1;1;1;4;0
A16;1.41971400436887;1;1;1;1;16;1
A4;0.701590979122557;0;1;1;1;4;0
A17;2.32114133948926;1;1;1;1;17;1
B15;1.63673751110036;1;1;1;1;15;1
B7;2.75626974753686;0;1;1;1;7;0
A9;3.23956703438307;1;0;1;1;9;0
A1;1.33603052674152;1;1;1;1;1;1
A12;1.569764675849;1;1;1;1;12;1
B3;1.08555666146276;1;1;1;1;3;1
B6;0.751675330902799;1;1;1;1;6;1
B16;1.75362063289504;1;0;1;1;16;0
A13;2.0039732943842;0;0;1;1;13;0
B1;0.75162888833438;0;1;1;1;1;0
A7;0.851802878081799;1;1;1;1;7;1
A11;2.47200418965076;0;1;1;1;11;0
B9;0.700466162612429;0;0;1;1;9;0
A2;1.2024088215112;1;1;1;1;2;1
A0;0.818258501632954;0;0;1;1;0;0
B12;2.17092188887182;1;0;1;1;12;0
A5;2.43789608341467;0;0;1;1;5;0
A13;0.9352854821336223;1;1;1;2;13;1
B12;2.187787717411993;1;0;1;2;12;0
A12;1.6699488603044301;1;0;1;2;12;0
B16;1.1025346318201628;1;1;1;2;16;1
A8;1.52072358285659;0;0;1;2;8;0
A16;1.0688864203402773;1;1;1;2;16;1
A15;2.354418765520677;1;1;1;2;15;1
A5;1.0019366175838513;1;1;1;2;5;1
B1;0.8182834220351651;1;1;1;2;1;1
B13;0.8349948195682373;1;1;1;2;13;1
B7;0.8353565430443268;1;1;1;2;7;1
A10;2.4549963903118623;1;1;1;2;10;1
A7;1.9704870655550621;1;1;1;2;7;1
B14;1.219025823593256;1;1;1;2;14;1
B8;1.6369561310275458;0;0;1;2;8;0
B4;2.3044216351408977;1;1;1;2;4;1
A2;3.7740051471919287;1;0;1;2;2;0
B3;1.5867230119474698;1;0;1;2;3;0
B2;0.6681183432374382;1;1;1;2;2;1
A11;2.5887521371187177;0;1;1;2;11;0
A17;2.254687679349445;1;1;1;2;17;1
A9;1.018713714380283;1;1;1;2;9;1
B11;na;0;0;1;2;11;0
A6;2.004167749080807;1;1;1;2;6;1
B0;1.4362486935715424;1;1;1;2;0;1
B15;2.4547366139595397;1;0;1;2;15;0
A1;0.8517451080406317;1;1;1;2;1;1
B17;0.7347910008684266;1;1;1;2;17;1
B10;0.8186387266032398;1;1;1;2;10;1
A0;1.219354697415838;1;1;1;2;0;1
A3;1.1355016855231952;1;0;1;2;3;0
A4;0.8683979803900002;1;1;1;2;4;1
B5;0.7679245681938482;1;1;1;2;5;1
B9;0.5521440610900754;1;1;1;2;9;1
B6;1.3359198952384759;1;1;1;2;6;1
A14;1.319239081843989;1;1;1;2;14;1
B5;0.918418520843261;1;1;1;3;5;1
B3;1.58660671673715;1;1;1;3;3;1
A8;2.03766568293213;1;1;1;3;8;1
A12;2.20420158040361;1;1;1;3;12;1
B6;0.784180601956905;1;1;1;3;6;1
A2;0.684463486322784;1;1;1;3;2;1
B10;1.90364562881587;1;1;1;3;10;1
A6;0.584304977426655;1;1;1;3;6;1
A4;3.57338530874404;1;0;1;3;4;0
B8;1.10351634476683;1;1;1;3;8;1
B7;0.484612027037656;1;1;1;3;7;1
A11;0.735060216771672;1;1;1;3;11;1
A9;0.968692796348478;1;1;1;3;9;1
A13;0.567560730269179;1;1;1;3;13;1
B1;1.4859562186175;1;1;1;3;1;1
A16;0.618869202604401;1;1;1;3;16;1
A5;0.651650863597752;1;1;1;3;5;1
A15;1.48643423731846;1;1;1;3;15;1
B16;2.40472815612156;1;0;1;3;16;0
A0;0.551000365492655;1;1;1;3;0;1
B0;0.534559694177005;1;1;1;3;0;1
B2;0.835092990862904;1;1;1;3;2;1
A7;1.53621576842852;1;1;1;3;7;1
B17;0.567843916694983;1;1;1;3;17;1
B4;0.66807605404756;1;0;1;3;4;0
A3;0.651380137365777;1;1;1;3;3;1
B13;0.918380007482483;1;1;1;3;13;1
A17;0.701686129745212;1;1;1;3;17;1
B11;0.801903163825045;1;1;1;3;11;1
A10;1.08571600102005;0;1;1;3;10;0
B12;0.768125064190826;1;1;1;3;12;1
A14;0.718083379149903;1;1;1;3;14;1
B14;0.70135499042226;1;1;1;3;14;1
A1;0.734996405430138;1;1;1;3;1;1
B15;0.684592996913125;1;1;1;3;15;1
B9;0.617863701991155;0;0;1;3;9;0
