"";"sub";"run";"type";"z";"roi"
"1";1;"IP";"within_pair-across_pair";-0,0131493976131145;"ca23dg_body_thre_0.5"
"2";1;"Pre";"within_pair-across_pair";0,00111595105926761;"ca23dg_body_thre_0.5"
"3";2;"IP";"within_pair-across_pair";-0,0204472819635866;"ca23dg_body_thre_0.5"
"4";2;"Pre";"within_pair-across_pair";0,00105590628525178;"ca23dg_body_thre_0.5"
"5";3;"IP";"within_pair-across_pair";-0,0129664397626517;"ca23dg_body_thre_0.5"
"6";3;"Pre";"within_pair-across_pair";0,00693076754788755;"ca23dg_body_thre_0.5"
"7";4;"IP";"within_pair-across_pair";0,016719832778549;"ca23dg_body_thre_0.5"
"8";4;"Pre";"within_pair-across_pair";-0,0347607169916068;"ca23dg_body_thre_0.5"
"9";5;"IP";"within_pair-across_pair";-0,0276755135605447;"ca23dg_body_thre_0.5"
"10";5;"Pre";"within_pair-across_pair";-0,012871934648018;"ca23dg_body_thre_0.5"
"11";6;"IP";"within_pair-across_pair";-0,0264512892023807;"ca23dg_body_thre_0.5"
"12";6;"Pre";"within_pair-across_pair";-0,0172450602253419;"ca23dg_body_thre_0.5"
"13";7;"IP";"within_pair-across_pair";-0,0176692087459864;"ca23dg_body_thre_0.5"
"14";7;"Pre";"within_pair-across_pair";0,00452668512134522;"ca23dg_body_thre_0.5"
"15";9;"IP";"within_pair-across_pair";-0,0175734007268344;"ca23dg_body_thre_0.5"
"16";9;"Pre";"within_pair-across_pair";-0,0155454952312473;"ca23dg_body_thre_0.5"
"17";10;"IP";"within_pair-across_pair";0,00324446366526311;"ca23dg_body_thre_0.5"
"18";10;"Pre";"within_pair-across_pair";0,0115937008325542;"ca23dg_body_thre_0.5"
"19";11;"IP";"within_pair-across_pair";-0,0515251926597129;"ca23dg_body_thre_0.5"
"20";11;"Pre";"within_pair-across_pair";-0,000954573437268269;"ca23dg_body_thre_0.5"
"21";12;"IP";"within_pair-across_pair";-0,0237703198284835;"ca23dg_body_thre_0.5"
"22";12;"Pre";"within_pair-across_pair";-0,0338481569082624;"ca23dg_body_thre_0.5"
"23";13;"IP";"within_pair-across_pair";-0,00668517921133115;"ca23dg_body_thre_0.5"
"24";13;"Pre";"within_pair-across_pair";0,00699057960545602;"ca23dg_body_thre_0.5"
"25";14;"IP";"within_pair-across_pair";0,00489995523484699;"ca23dg_body_thre_0.5"
"26";14;"Pre";"within_pair-across_pair";0,0216538168813719;"ca23dg_body_thre_0.5"
"27";17;"IP";"within_pair-across_pair";0,0144344934437272;"ca23dg_body_thre_0.5"
"28";17;"Pre";"within_pair-across_pair";-0,00288375546906188;"ca23dg_body_thre_0.5"
"29";18;"IP";"within_pair-across_pair";0,0414438541610783;"ca23dg_body_thre_0.5"
"30";18;"Pre";"within_pair-across_pair";-0,0164505351918896;"ca23dg_body_thre_0.5"
"31";19;"IP";"within_pair-across_pair";0,00144741915885303;"ca23dg_body_thre_0.5"
"32";19;"Pre";"within_pair-across_pair";0,00724095189682837;"ca23dg_body_thre_0.5"
"33";20;"IP";"within_pair-across_pair";-0,0367680918435988;"ca23dg_body_thre_0.5"
"34";20;"Pre";"within_pair-across_pair";0,0579335954505709;"ca23dg_body_thre_0.5"
"35";21;"IP";"within_pair-across_pair";0,00495029689419311;"ca23dg_body_thre_0.5"
"36";21;"Pre";"within_pair-across_pair";0,0123441844436981;"ca23dg_body_thre_0.5"
"37";22;"IP";"within_pair-across_pair";-0,00872569960276836;"ca23dg_body_thre_0.5"
"38";22;"Pre";"within_pair-across_pair";0,0152301782117887;"ca23dg_body_thre_0.5"
"39";23;"IP";"within_pair-across_pair";-0,0119088547927964;"ca23dg_body_thre_0.5"
"40";23;"Pre";"within_pair-across_pair";0,00366928335666576;"ca23dg_body_thre_0.5"
"41";24;"IP";"within_pair-across_pair";0,00478789713965828;"ca23dg_body_thre_0.5"
"42";24;"Pre";"within_pair-across_pair";0,0282242304243989;"ca23dg_body_thre_0.5"
"43";25;"IP";"within_pair-across_pair";-0,0270967506766646;"ca23dg_body_thre_0.5"
"44";25;"Pre";"within_pair-across_pair";0,00273781048969503;"ca23dg_body_thre_0.5"
"45";26;"IP";"within_pair-across_pair";0,0128842927053633;"ca23dg_body_thre_0.5"
"46";26;"Pre";"within_pair-across_pair";-0,00363484358155472;"ca23dg_body_thre_0.5"
"47";27;"IP";"within_pair-across_pair";-0,0258022900276928;"ca23dg_body_thre_0.5"
"48";27;"Pre";"within_pair-across_pair";0,0330875745171636;"ca23dg_body_thre_0.5"
"49";28;"IP";"within_pair-across_pair";-0,00540704915921065;"ca23dg_body_thre_0.5"
