"";"sub";"run";"obj";"type";"z";"roi"
"1";1;"learned";"first";"within_pair-across_pair";-0,0089302483452132;"ca23dg_body_thre_0.5"
"2";1;"learned";"last";"within_pair-across_pair";-0,0146612655089488;"ca23dg_body_thre_0.5"
"3";1;"pre-learned";"first";"within_pair-across_pair";-0,0154772396562674;"ca23dg_body_thre_0.5"
"4";1;"pre-learned";"last";"within_pair-across_pair";-0,0126086116894218;"ca23dg_body_thre_0.5"
"5";2;"learned";"first";"within_pair-across_pair";0,00587253977898359;"ca23dg_body_thre_0.5"
"6";2;"learned";"last";"within_pair-across_pair";-0,0349084809421932;"ca23dg_body_thre_0.5"
"7";2;"pre-learned";"first";"within_pair-across_pair";-0,00393375567345409;"ca23dg_body_thre_0.5"
"8";2;"pre-learned";"last";"within_pair-across_pair";0,00683356640222378;"ca23dg_body_thre_0.5"
"9";3;"learned";"first";"within_pair-across_pair";0,0402245141189977;"ca23dg_body_thre_0.5"
"10";3;"learned";"last";"within_pair-across_pair";-0,00864527487294746;"ca23dg_body_thre_0.5"
"11";3;"pre-learned";"first";"within_pair-across_pair";-0,00752371678528624;"ca23dg_body_thre_0.5"
"12";3;"pre-learned";"last";"within_pair-across_pair";0,0224533407854954;"ca23dg_body_thre_0.5"
"13";4;"learned";"first";"within_pair-across_pair";-0,00937685307492902;"ca23dg_body_thre_0.5"
"14";4;"learned";"last";"within_pair-across_pair";0,0374136196516192;"ca23dg_body_thre_0.5"
"15";4;"pre-learned";"first";"within_pair-across_pair";-0,00497943038294494;"ca23dg_body_thre_0.5"
"16";4;"pre-learned";"last";"within_pair-across_pair";-0,0261360488902698;"ca23dg_body_thre_0.5"
"17";5;"learned";"first";"within_pair-across_pair";-0,0221646414490731;"ca23dg_body_thre_0.5"
"18";5;"learned";"last";"within_pair-across_pair";0,0313911727427542;"ca23dg_body_thre_0.5"
"19";5;"pre-learned";"first";"within_pair-across_pair";0,0022891103042641;"ca23dg_body_thre_0.5"
"20";5;"pre-learned";"last";"within_pair-across_pair";0,00482188554773508;"ca23dg_body_thre_0.5"
"21";6;"learned";"first";"within_pair-across_pair";0,0179800930522348;"ca23dg_body_thre_0.5"
"22";6;"learned";"last";"within_pair-across_pair";0,00942045936216706;"ca23dg_body_thre_0.5"
"23";6;"pre-learned";"first";"within_pair-across_pair";0,00349751353880913;"ca23dg_body_thre_0.5"
"24";6;"pre-learned";"last";"within_pair-across_pair";0,0180282901591781;"ca23dg_body_thre_0.5"
"25";7;"learned";"first";"within_pair-across_pair";-0,011651759853284;"ca23dg_body_thre_0.5"
"26";7;"learned";"last";"within_pair-across_pair";-0,0285589880329585;"ca23dg_body_thre_0.5"
"27";7;"pre-learned";"first";"within_pair-across_pair";0,0164844701130527;"ca23dg_body_thre_0.5"
"28";7;"pre-learned";"last";"within_pair-across_pair";0,00997966189375967;"ca23dg_body_thre_0.5"
"29";9;"learned";"first";"within_pair-across_pair";-0,0249503543100171;"ca23dg_body_thre_0.5"
"30";9;"learned";"last";"within_pair-across_pair";-0,0322593077498058;"ca23dg_body_thre_0.5"
"31";9;"pre-learned";"first";"within_pair-across_pair";0,0116645598259487;"ca23dg_body_thre_0.5"
"32";9;"pre-learned";"last";"within_pair-across_pair";0,0175767181818796;"ca23dg_body_thre_0.5"
"33";10;"learned";"first";"within_pair-across_pair";-0,01314842649466;"ca23dg_body_thre_0.5"
"34";10;"learned";"last";"within_pair-across_pair";-0,0204208195703229;"ca23dg_body_thre_0.5"
"35";10;"pre-learned";"first";"within_pair-across_pair";0,017077902236158;"ca23dg_body_thre_0.5"
"36";10;"pre-learned";"last";"within_pair-across_pair";-0,00999063063633199;"ca23dg_body_thre_0.5"
"37";11;"learned";"first";"within_pair-across_pair";-0,0150550344589184;"ca23dg_body_thre_0.5"
"38";11;"learned";"last";"within_pair-across_pair";-0,0241576523963071;"ca23dg_body_thre_0.5"
"39";11;"pre-learned";"first";"within_pair-across_pair";0,0588438699677108;"ca23dg_body_thre_0.5"
"40";11;"pre-learned";"last";"within_pair-across_pair";-0,00396935800099632;"ca23dg_body_thre_0.5"
"41";12;"learned";"first";"within_pair-across_pair";-0,0125576353727208;"ca23dg_body_thre_0.5"
"42";12;"learned";"last";"within_pair-across_pair";-0,0120656030265134;"ca23dg_body_thre_0.5"
