subnum,1,2,3,4,5,6,7
1,1,7,6,4,0,0,0
2,1,1,4,4,6,2,0
3,1,7,5,5,0,0,0
6,3,6,2,6,0,1,0
12,3,3,4,3,2,2,1
14,1,1,2,4,7,2,1
18,1,6,7,2,1,1,0
19,1,2,6,1,2,4,2
20,2,3,3,5,3,2,0
21,5,3,2,3,4,0,1
25,1,3,4,2,3,1,4
27,3,4,7,1,2,1,0
28,1,10,4,3,0,0,0
31,3,0,4,2,2,1,6
32,1,8,4,3,0,0,2
35,2,6,6,1,0,2,1
36,1,1,3,6,3,3,1
4,0,3,0,5,4,3,3
5,0,2,3,6,4,2,1
7,0,6,4,3,3,1,1
9,0,2,5,4,5,1,1
10,0,1,1,2,2,2,10
13,0,1,2,5,2,5,3
23,0,1,6,2,1,4,4
24,0,1,3,3,4,7,0
26,0,6,5,4,1,2,0
33,0,6,2,1,1,2,6
11,0,0,8,2,5,2,1
17,0,0,3,4,4,5,2
22,0,0,2,7,6,2,1
29,0,0,2,9,2,1,4
