distance,sub,ca23dg,ca1,ppa,evc
N-1,1,-0.013149398,-0.005279158,-0.014936044,0.015487881
N-1,2,-0.020447282,-0.001127203,0.003977319,0.008168629
N-1,3,-0.01296644,-0.017563482,0.016220095,0.014346848
N-1,4,0.016719833,0.002335853,-0.001764103,0.030453078
N-1,5,-0.027675514,-0.006845929,-0.022655517,-0.011879909
N-1,6,-0.026451289,-0.00522074,-7.09E-04,-0.006462344
N-1,7,-0.017669209,0.028354228,0.006516141,0.014605637
N-1,9,-0.017573401,-0.009638907,0.001175455,0.015022038
N-1,10,0.003244464,-0.002560999,-0.009399867,0.066819295
N-1,11,-0.051525193,-0.032051953,-0.001860429,-0.004968375
N-1,12,-0.02377032,-0.036857053,-0.016819769,-0.008232659
N-1,13,-0.006685179,-0.006376119,-0.009441699,-0.002450098
N-1,14,0.004899955,-0.021917649,0.004964069,0.010413208
N-1,17,0.014434493,-0.008843062,-0.001380683,-0.012471781
N-1,18,0.041443854,0.010673457,-0.0036714,0.040767754
N-1,19,0.001447419,0.005082531,0.006104375,0.029210504
N-1,20,-0.036768092,-0.017214757,-0.010894637,0.009581868
N-1,21,0.004950297,0.032284732,-0.015704106,-0.002250098
N-1,22,-0.0087257,0.01541558,-0.019505265,0.037501859
N-1,23,-0.011908855,0.003660344,0.012476334,0.026709058
N-1,24,0.004787897,-0.014074508,0.024395961,0.009280118
N-1,25,-0.027096751,-5.92E-04,-0.01084134,-0.021620051
N-1,26,0.012884293,0.023793298,0.023802422,0.006064284
N-1,27,-0.02580229,0.034229713,0.010093711,0.018285234
N-1,28,-0.005407049,4.62E-04,0.010623457,0.012618119
N-1,29,0.022456777,0.015687604,0.0212453,0.042804777
N-1,31,0.006349937,0.011577845,-0.013281903,0.004924478
N-1,32,-0.040067799,0.008581195,-0.003081136,0.004640798
N-1,33,-0.009035061,-0.003867655,0.008410186,-0.020055418
N-1,35,-0.011910215,-0.025940712,0.00610164,0.01624456
N-1,36,0.001065905,-0.009365455,-0.018892547,-0.002174655
N-2,1,-0.004469318,0.01823384,0.002421233,-0.026647176
N-2,2,0.011473384,-0.015032999,0.005016481,0.006660968
N-2,3,-0.016221826,0.034652261,0.008141143,0.042283849
N-2,4,-0.018413883,-0.043269241,-5.45E-04,-0.004936203
N-2,5,-0.031600163,0.025761893,0.015602108,0.016415136
N-2,6,-0.021224122,7.97E-04,0.00280749,0.02055873
N-2,7,0.012049069,-0.027223076,0.006434628,-0.003209219
N-2,9,-0.026821257,-0.009653702,0.012276204,0.011464035
N-2,10,0.00239697,0.009146719,-0.011835751,-0.027465248
N-2,11,0.014815485,0.015084202,0.003508029,0.013743278
N-2,12,0.025689486,-0.005039064,0.023961217,0.008821909
N-2,13,0.01121025,-0.015555981,0.020911117,0.006912813
N-2,14,-0.023548334,0.003688488,0.008608731,-0.00727244
N-2,17,0.006726484,-0.006652156,-0.001664709,-0.004139844
N-2,18,-0.07796134,0.009189126,0.002714765,0.006428833
N-2,19,0.031770728,0.002053037,0.002108781,0.016270955
N-2,20,-0.042228801,-0.010494108,-0.014142156,0.005063867
N-2,21,0.003498492,0.017320822,0.008060959,0.008958945
N-2,22,-0.022063171,0.003088032,-0.004994847,0.016033396
N-2,23,0.0024491,-0.015717388,0.021324866,0.007207974
N-2,24,0.008624825,0.011124905,0.025642199,0.04322395
N-2,25,-0.00787433,-0.022233409,-0.032261963,-0.027954089
N-2,26,-0.00876851,-0.018681324,-0.006106259,-0.003440144
N-2,27,-0.028301969,-0.003585282,0.014692004,0.017666295
N-2,28,-0.026364823,0.021079325,0.036283639,0.006573984
N-2,29,0.022949192,-0.008545541,0.01206487,0.008800779
N-2,31,-0.027160008,0.015989329,0.008374277,0.011769876
N-2,32,0.004535772,0.003488492,-0.010084495,-0.001915625
N-2,33,0.008110187,-0.005480515,0.007363343,7.83E-04
N-2,35,-0.029917957,-0.013326564,0.01074711,0.023102798
N-2,36,0.025647199,0.017827668,-0.028916934,-0.047973196
N-3,1,0.004309657,0.047630629,0.017321559,-0.016246249
N-3,2,-0.052598493,-0.011361188,0.013036253,0.030457441
N-3,3,-0.011430187,-0.013247467,-0.028035198,0.002519438
N-3,4,0.009758689,-0.008905851,0.011456045,-0.002441719
N-3,5,-0.023111058,0.009270626,-0.001749943,0.013909508
N-3,6,-0.020446776,-0.029404078,0.00423082,0.004001283
N-3,7,0.05819207,0.05249618,-0.031201168,-0.020184375
N-3,9,0.012944186,0.011817154,-0.008766548,0.02699189
N-3,10,-0.004886565,-0.016251302,-0.012547205,-0.034382162
N-3,11,0.032446307,-0.004370388,-0.036935431,-0.037398332
N-3,12,1.49E-04,3.96E-05,0.017221728,-0.010972883
N-3,13,0.017917035,6.68E-04,-0.00295909,-0.004812533
