scene_num,subnum,1,2,3,4,5,6
0,1,0,1,1,1,1,1
0,2,0,0,0,0,1,1
0,3,0,0,0,1,1,1
0,4,0,0,0,0,1,1
0,5,0,0,0,0,1,1
0,6,0,0,0,1,1,1
0,7,0,0,0,1,1,1
0,9,0,0,1,0,1,1
0,10,0,0,0,0,0,0
0,11,0,0,0,1,1,0
0,12,0,0,1,1,1,1
0,13,0,0,0,0,0,1
0,14,0,1,0,1,1,1
0,17,0,0,0,1,0,1
0,18,0,1,1,1,1,1
0,19,1,0,0,1,1,1
0,20,0,0,0,0,0,1
0,21,0,0,1,0,1,1
0,22,0,0,1,0,0,0
0,23,0,0,0,0,0,0
0,24,0,0,0,0,0,1
0,25,0,0,1,1,1,1
0,26,0,0,0,1,1,1
0,27,0,0,1,1,1,1
0,28,0,1,1,1,1,1
0,29,0,0,0,1,1,1
0,31,0,1,1,0,0,0
0,32,0,0,1,1,1,1
0,33,0,0,0,0,0,0
0,35,0,0,1,1,1,1
0,36,0,0,0,0,0,1
1,1,0,1,1,1,1,1
1,2,0,0,1,0,1,1
1,3,0,0,0,1,1,1
1,4,0,0,0,0,0,0
1,5,0,0,0,0,0,0
1,6,1,1,1,1,1,1
1,7,0,0,1,1,1,0
1,9,0,0,0,1,1,1
1,10,0,0,1,0,0,0
1,11,0,0,1,1,1,1
1,12,0,0,1,1,0,1
1,13,0,0,1,0,0,0
1,14,1,1,1,0,1,1
1,17,0,0,0,1,0,1
1,18,1,1,1,1,1,1
1,19,1,1,0,0,0,1
1,20,0,0,1,1,1,1
1,21,0,1,0,0,1,1
1,22,0,0,0,1,0,1
1,23,0,1,0,1,1,1
1,24,0,0,0,0,1,1
1,25,0,0,1,1,1,1
1,26,0,1,1,1,1,1
1,27,0,0,1,1,1,1
1,28,0,1,1,1,1,1
1,29,0,0,0,0,0,0
1,31,0,0,0,0,0,0
1,32,1,1,0,1,1,1
1,33,0,0,0,0,1,0
1,35,0,1,1,1,1,1
1,36,0,0,1,0,1,1
2,1,0,0,1,1,1,1
2,2,0,0,1,1,1,1
2,3,0,1,1,1,1,1
2,4,0,1,0,1,1,1
2,5,0,0,0,1,1,1
2,6,0,1,1,1,0,1
2,7,0,1,1,1,1,1
2,9,0,0,1,1,1,1
2,10,0,0,1,1,1,0
2,11,0,0,1,1,1,1
2,12,1,1,1,1,1,1
2,13,0,0,0,0,0,1
