roi,sub,1,2,3
CA3/DG,1,-0.036855105,-0.031506436,-0.001663276
CA3/DG,2,-0.018646367,0.012161939,-0.059091884
CA3/DG,3,-0.014379613,0.06610097,-0.045255364
CA3/DG,4,0.019178723,0.031160722,0.04021621
CA3/DG,5,-0.026146661,-0.038381078,-0.059316724
CA3/DG,6,-0.044045648,0.026080896,-0.048698456
CA3/DG,7,0.006949294,0.022726356,-0.019109025
CA3/DG,9,-0.019991456,-0.01688496,-0.02775543
CA3/DG,10,0.008586738,0.044043991,-0.010229238
CA3/DG,11,-0.071178425,-0.055392413,-0.023300649
CA3/DG,12,0.006072307,-0.033144352,-0.076745859
CA3/DG,13,0.01924636,-0.020569123,-0.012193462
CA3/DG,14,0.019933377,0.028963514,-0.030075415
CA3/DG,17,0.012907824,0.009810291,0.020890699
CA3/DG,18,0.04370929,0.085773514,-0.002418039
CA3/DG,19,0.029690185,0.020435253,-0.072507807
CA3/DG,20,-0.015354438,0.013969607,-0.02244608
CA3/DG,21,-0.069011719,0.045817628,0.037692807
CA3/DG,22,0.012656061,-0.02600176,-0.013652539
CA3/DG,23,-0.009394525,-0.059269907,-0.004636367
CA3/DG,24,0.005000536,-0.017087497,0.036901184
CA3/DG,25,0.012832679,-0.040122959,-0.064933637
CA3/DG,26,0.02840804,0.006136421,0.044082713
CA3/DG,27,-0.087617644,-0.019643966,-0.010543219
CA3/DG,28,0.011905195,0.094059178,-0.065773383
CA3/DG,29,-0.013686145,0.031458631,0.056383112
CA3/DG,31,-0.034994774,0.020971184,0.033073401
CA3/DG,32,-0.05244367,-0.047568582,-0.01713857
CA3/DG,33,-0.011674437,-0.035286627,-0.017667249
CA3/DG,35,0.013536485,0.007012601,0.017518032
CA3/DG,36,0.004644197,-0.023401321,0.0326035
CA1,1,0.002716105,0.042635303,0.048057413
CA1,2,0.003571473,-0.008390551,-0.00842946
CA1,3,-0.062102349,-0.002263087,-0.022252077
CA1,4,0.010673993,-0.04403598,0.046344289
CA1,5,0.031574302,-0.04288855,-0.004390765
CA1,6,-0.051779288,-3.85E-04,0.016961888
CA1,7,0.035405343,0.036152703,0.066561926
CA1,9,-0.044295713,0.007801732,-0.020377653
CA1,10,-0.00827463,0.025440854,-0.042624281
CA1,11,-0.007721423,-0.048166435,-0.04191121
CA1,12,-0.090873183,0.004737169,-0.042051457
CA1,13,0.036391763,-0.042718239,-0.010759491
CA1,14,0.00837416,-0.035893143,-0.03758159
CA1,17,0.012534629,-0.040804912,-0.00253444
CA1,18,0.035348918,-0.008372617,-0.063189679
CA1,19,-0.039991945,-0.002077117,0.023181307
CA1,20,-0.026710165,-0.037486973,0.03312762
CA1,21,0.037140652,0.068283412,0.024621163
CA1,22,-0.004960516,0.017135274,0.037803262
CA1,23,-0.010712306,0.007310498,0.004184497
CA1,24,-0.007942475,0.015222464,-0.037096455
CA1,25,0.013623152,0.004018174,-0.040349697
CA1,26,-0.006313578,0.072999934,0.003134566
CA1,27,0.030917321,0.032455214,0.057719423
CA1,28,0.010688583,-0.015050775,0.059696975
CA1,29,0.040450424,-0.045288887,0.060954691
CA1,31,-0.025980406,-0.029610648,0.090324589
CA1,32,-0.035805763,0.05435325,0.052421091
CA1,33,-0.041361842,-0.009905224,0.013220539
CA1,35,0.001892798,0.001212072,-0.034039261
CA1,36,0.010487944,-0.015551984,-0.009502887
