roi,sub,1,2,3,4,5
CA3/DG,1,-0.03279754,-0.040912669,-0.04846218,-0.011390737,0.010098348
CA3/DG,2,-0.018397715,-0.031313849,0.061965983,-0.060270071,-0.061361083
CA3/DG,3,-0.099382543,0.070623317,0.081637182,0.030183457,-0.08055223
CA3/DG,4,-0.008312618,0.02740353,0.057162857,-0.022534473,0.102966893
CA3/DG,5,-0.084858213,0.026283792,-0.065303673,0.019625319,-0.102154663
CA3/DG,6,-0.032299578,0.023474176,-0.018121726,-0.097662962,0.049230556
CA3/DG,7,0.003978405,0.0511829,0.044085556,-0.061406613,-0.009141688
CA3/DG,9,-0.013498595,9.44E-04,-0.050320216,0.015551752,-0.06039624
CA3/DG,10,0.110037713,-0.194315211,0.044043991,0.068066312,-0.088524789
CA3/DG,11,-0.06891705,-0.091619218,-0.036472475,-0.005909399,-0.053928109
CA3/DG,12,-0.026829652,0.016214615,0.00650035,-0.055536604,-0.096196763
CA3/DG,13,0.048713231,-0.033028131,-0.022986818,0.002835989,-0.020995236
CA3/DG,14,-0.031456186,0.044313297,0.050880801,-0.001820319,-0.030548468
CA3/DG,17,0.058836696,-0.097716887,0.018681991,0.024953447,0.052616486
CA3/DG,18,0.026367255,0.088790683,0.060490623,0.030556232,0.03595013
CA3/DG,19,0.032357693,0.035714097,-0.0315706,-0.005391308,-0.092369768
CA3/DG,20,-0.03995497,0.043105478,-0.067486934,0.030579252,-0.038446747
CA3/DG,21,-0.07587845,-0.007368278,0.048455591,0.089359563,-0.065640704
CA3/DG,22,0.023189665,-0.018010084,-0.012370967,-0.041049534,-0.004810944
CA3/DG,23,-0.022318221,-0.010796667,-0.026816975,-0.046190007,-0.005524545
CA3/DG,24,4.60E-05,0.008289648,-0.017408709,-0.010239603,0.062428323
CA3/DG,25,2.97E-04,0.025368516,-0.092603868,0.021668099,-0.086649124
CA3/DG,26,0.019982517,0.03638616,0.001819325,0.052694197,0.035471229
CA3/DG,27,-0.054370941,-0.128157715,0.013493902,-0.004570829,-0.029546995
CA3/DG,28,0.035628117,-0.035540649,0.094059178,-0.015658468,-0.115888298
CA3/DG,29,-0.015403477,0.017508758,0.008510186,0.096791723,-0.003913347
CA3/DG,31,-0.017368629,-0.039104492,0.035437736,0.055090736,-0.010961268
CA3/DG,32,-0.037867966,-0.08159508,-0.047568582,0.018498564,-0.052775703
CA3/DG,33,-0.011674437,-0.052893952,-0.017679303,-0.052691597,0.017357098
CA3/DG,35,0.046217543,0.043596728,-0.058990642,0.013780639,0.024992817
CA3/DG,36,0.001086196,-0.023296066,0.024808458,0.011155208,0.009323499
CA1,1,-0.060034434,0.065466643,0.027235797,0.03979034,0.069012937
CA1,2,-0.023311479,0.032494401,0.002141376,-0.03670819,0.012263979
CA1,3,-0.045863366,-0.078341332,0.004103745,-0.004880856,-0.035995636
CA1,4,0.035900594,-0.020905852,-0.066446008,0.038195866,0.054492711
CA1,5,0.023045321,-0.002892893,-0.050635666,0.060802194,-0.056493978
CA1,6,-0.034701577,-0.043690173,1.45E-04,0.006922649,0.037040367
CA1,7,0.008757108,0.067477751,0.040768457,0.049722824,0.071854287
CA1,9,-0.073124283,0.022325784,-0.020958518,0.043406793,-0.066435831
CA1,10,0.01569256,-0.056209008,0.025440854,-0.028773653,-0.056474909
CA1,11,-0.006622159,0.011001634,-0.031651684,-0.051179748,-0.09041783
CA1,12,-0.140291223,0.062551054,-0.024494674,0.009791929,-0.072760688
CA1,13,0.045726883,-0.00419915,-0.065740999,0.010732989,-0.017114756
CA1,14,0.04155262,-0.054502037,-0.036454585,-0.019690023,-0.03940693
CA1,17,-0.002185001,0.020581377,-0.037708794,-0.037477692,0.010355449
CA1,18,0.024423735,0.021277037,-0.018781355,-0.030319498,-0.049643701
CA1,19,-0.100851296,0.040494005,-0.051137831,0.078907437,-0.03445887
CA1,20,0.002499668,-0.018614092,-0.078821994,-0.028799098,0.070698158
CA1,21,0.017825702,0.067376408,0.072933987,0.0693127,-0.064761911
CA1,22,-0.005586512,0.011610686,0.042647844,-0.009590866,0.035920022
CA1,23,-0.032183301,0.029804108,0.020647765,-0.051021547,0.05566257
CA1,24,-0.005488496,-0.009466074,0.037808544,-0.109290061,0.028395291
CA1,25,0.033644494,-0.006398191,0.021166594,-0.054598943,-0.021064935
CA1,26,0.016840668,-0.004427508,0.075026145,0.00616904,1.00E-04
CA1,27,0.033625602,0.010485344,0.034988965,0.038608321,0.078803171
CA1,28,-0.004925005,0.041915758,-0.015050775,0.00992466,0.10946929
CA1,29,-0.012856091,0.0525863,-0.034250038,0.001818173,0.098865709
CA1,31,0.011288928,-0.028944391,-0.065731118,0.121614785,0.027744196
CA1,32,-0.030648117,-0.046121055,0.05435325,0.091115923,0.013726259
CA1,33,-0.041361842,-0.086794579,0.06698413,-0.043786562,0.070227639
CA1,35,0.011918464,0.004465013,-0.011726173,0.001563716,-0.105245216
CA1,36,-0.020656798,0.039853953,-0.01591302,-0.009998477,-0.01756387
