sub,run,obj,type,z,roi
1,learned,first,competitor,-0.0089302483452132,CA23DG
1,learned,last,competitor,-0.0146612655089488,CA23DG
1,pre-learned,first,competitor,-0.0154772396562674,CA23DG
1,pre-learned,last,competitor,-0.0126086116894218,CA23DG
2,learned,first,competitor,0.00587253977898359,CA23DG
2,learned,last,competitor,-0.0349084809421932,CA23DG
2,pre-learned,first,competitor,-0.00393375567345409,CA23DG
2,pre-learned,last,competitor,0.00683356640222378,CA23DG
3,learned,first,competitor,0.040224514118997703,CA23DG
3,learned,last,competitor,-0.00864527487294746,CA23DG
3,pre-learned,first,competitor,-0.00752371678528624,CA23DG
3,pre-learned,last,competitor,0.0224533407854954,CA23DG
4,learned,first,competitor,-0.00937685307492902,CA23DG
4,learned,last,competitor,0.0374136196516192,CA23DG
4,pre-learned,first,competitor,-0.00497943038294494,CA23DG
4,pre-learned,last,competitor,-0.0261360488902698,CA23DG
5,learned,first,competitor,-0.0221646414490731,CA23DG
5,learned,last,competitor,0.0313911727427542,CA23DG
5,pre-learned,first,competitor,0.0022891103042641,CA23DG
5,pre-learned,last,competitor,0.00482188554773508,CA23DG
6,learned,first,competitor,0.0179800930522348,CA23DG
6,learned,last,competitor,0.00942045936216706,CA23DG
6,pre-learned,first,competitor,0.00349751353880913,CA23DG
6,pre-learned,last,competitor,0.0180282901591781,CA23DG
7,learned,first,competitor,-0.011651759853284,CA23DG
7,learned,last,competitor,-0.0285589880329585,CA23DG
7,pre-learned,first,competitor,0.0164844701130527,CA23DG
7,pre-learned,last,competitor,0.00997966189375967,CA23DG
9,learned,first,competitor,-0.0249503543100171,CA23DG
9,learned,last,competitor,-0.0322593077498058,CA23DG
9,pre-learned,first,competitor,0.0116645598259487,CA23DG
9,pre-learned,last,competitor,0.0175767181818796,CA23DG
10,learned,first,competitor,-0.01314842649466,CA23DG
10,learned,last,competitor,-0.0204208195703229,CA23DG
10,pre-learned,first,competitor,0.017077902236158,CA23DG
10,pre-learned,last,competitor,-0.00999063063633199,CA23DG
11,learned,first,competitor,-0.0150550344589184,CA23DG
11,learned,last,competitor,-0.0241576523963071,CA23DG
11,pre-learned,first,competitor,0.0588438699677108,CA23DG
11,pre-learned,last,competitor,-0.00396935800099632,CA23DG
12,learned,first,competitor,-0.0125576353727208,CA23DG
12,learned,last,competitor,-0.0120656030265134,CA23DG
12,pre-learned,first,competitor,0.00309176709052276,CA23DG
12,pre-learned,last,competitor,0.00761074904447556,CA23DG
13,learned,first,competitor,-0.0212391561339189,CA23DG
13,learned,last,competitor,-0.00881501188021869,CA23DG
13,pre-learned,first,competitor,0.0264259861379868,CA23DG
13,pre-learned,last,competitor,-0.00116181831795496,CA23DG
14,learned,first,competitor,0.0291759048737754,CA23DG
14,learned,last,competitor,-0.0320547677945852,CA23DG
14,pre-learned,first,competitor,0.00364361302765454,CA23DG
14,pre-learned,last,competitor,-0.0080515602425495,CA23DG
17,learned,first,competitor,0.0252735494407917,CA23DG
17,learned,last,competitor,0.0213272908479508,CA23DG
17,pre-learned,first,competitor,0.0114459949805615,CA23DG
17,pre-learned,last,competitor,0.019094293712588,CA23DG
18,learned,first,competitor,0.0175627327731527,CA23DG
18,learned,last,competitor,0.0230359335155955,CA23DG
18,pre-learned,first,competitor,0.0139487429759176,CA23DG
18,pre-learned,last,competitor,0.00991374009500277,CA23DG
19,learned,first,competitor,-0.0256146602894074,CA23DG
19,learned,last,competitor,-0.0205999865527234,CA23DG
19,pre-learned,first,competitor,-0.0163321085187439,CA23DG
19,pre-learned,last,competitor,5.45512717982415e-4,CA23DG
20,learned,first,competitor,0.00395272963891074,CA23DG
20,learned,last,competitor,0.0217469924166928,CA23DG
20,pre-learned,first,competitor,-0.0336137216697431,CA23DG
20,pre-learned,last,competitor,-0.024864281870523,CA23DG
21,learned,first,competitor,-0.0208345728190388,CA23DG
21,learned,last,competitor,0.0234407883956558,CA23DG
21,pre-learned,first,competitor,-0.0387862403532072,CA23DG
21,pre-learned,last,competitor,0.0258823733811041,CA23DG
22,learned,first,competitor,0.00399986653742726,CA23DG
22,learned,last,competitor,-0.0222516810135032,CA23DG
22,pre-learned,first,competitor,0.00421932288838992,CA23DG
22,pre-learned,last,competitor,0.00784708863482727,CA23DG
23,learned,first,competitor,-0.0148328409187205,CA23DG
23,learned,last,competitor,-0.0109043639048579,CA23DG
23,pre-learned,first,competitor,-0.0212503320528992,CA23DG
23,pre-learned,last,competitor,0.00144541442835236,CA23DG
24,learned,first,competitor,-0.0208964105503148,CA23DG
24,learned,last,competitor,0.00997336586160993,CA23DG
24,pre-learned,first,competitor,0.0163429183605358,CA23DG
24,pre-learned,last,competitor,-0.0014294627892212,CA23DG
25,learned,first,competitor,-0.00772660874304251,CA23DG
25,learned,last,competitor,-0.00352831742538165,CA23DG
25,pre-learned,first,competitor,0.0235839456177398,CA23DG
25,pre-learned,last,competitor,0.0161991255543762,CA23DG
26,learned,first,competitor,-0.00358576239154599,CA23DG
26,learned,last,competitor,0.0109454274050164,CA23DG
26,pre-learned,first,competitor,-0.00133548284216484,CA23DG
26,pre-learned,last,competitor,-0.00500065991986311,CA23DG
27,learned,first,competitor,-0.00785772457105437,CA23DG
27,learned,last,competitor,-0.00486305562640287,CA23DG
27,pre-learned,first,competitor,0.0179442379852528,CA23DG
27,pre-learned,last,competitor,0.00760101917879223,CA23DG
28,learned,first,competitor,-0.00663415214278409,CA23DG
28,learned,last,competitor,-0.00937075944889622,CA23DG
28,pre-learned,first,competitor,0.00288422142388122,CA23DG
28,pre-learned,last,competitor,0.0115608021399507,CA23DG
29,learned,first,competitor,0.00929874841553658,CA23DG
29,learned,last,competitor,-0.0521175502815136,CA23DG
29,pre-learned,first,competitor,-0.0366765170164561,CA23DG
29,pre-learned,last,competitor,0.00921976498342269,CA23DG
31,learned,first,competitor,-0.00659198786186119,CA23DG
31,learned,last,competitor,0.0257835865484691,CA23DG
31,pre-learned,first,competitor,-0.0293638658882945,CA23DG
31,pre-learned,last,competitor,0.00949151852501232,CA23DG
32,learned,first,competitor,-0.0303419577313024,CA23DG
32,learned,last,competitor,0.00899713605800593,CA23DG
32,pre-learned,first,competitor,0.0102588706620502,CA23DG
32,pre-learned,last,competitor,-0.0120560845985528,CA23DG
33,learned,first,competitor,0.00494859888431199,CA23DG
33,learned,last,competitor,-0.0011800843614629,CA23DG
33,pre-learned,first,competitor,0.0260421306897774,CA23DG
33,pre-learned,last,competitor,0.0114384030608507,CA23DG
35,learned,first,competitor,0.00440762404317786,CA23DG
35,learned,last,competitor,-0.0157262809868181,CA23DG
35,pre-learned,first,competitor,-0.00524713150410697,CA23DG
35,pre-learned,last,competitor,0.0159007207700274,CA23DG
36,learned,first,competitor,-0.0147244398854222,CA23DG
36,learned,last,competitor,0.00115034268093486,CA23DG
36,pre-learned,first,competitor,-0.00241799038955555,CA23DG
36,pre-learned,last,competitor,0.0119105411401039,CA23DG
1,learned,first,target,-0.00899563534006788,CA23DG
1,learned,last,target,-0.0034348405805732698,CA23DG
1,pre-learned,first,target,-0.00294695693190381,CA23DG
1,pre-learned,last,target,-0.013830764935933,CA23DG
2,learned,first,target,0.00114082275803999,CA23DG
2,learned,last,target,0.00729571004248983,CA23DG
2,pre-learned,first,target,-0.0260104748910067,CA23DG
2,pre-learned,last,target,-0.0300514654668185,CA23DG
3,learned,first,target,0.0104834850980981,CA23DG
3,learned,last,target,0.0198961508585667,CA23DG
3,pre-learned,first,target,-0.0450463006327123,CA23DG
